code,name,regioFacet,level,url
0177,Raalte,tcm:106-353699-1024,4,/regioinformatie/gemeente/raalte/
1742,Rijssen-Holten,tcm:106-353700-1024,4,/regioinformatie/gemeente/rijssen-holten/
0180,Staphorst,tcm:106-353701-1024,4,/regioinformatie/gemeente/staphorst/
1708,Steenwijkerland,tcm:106-353702-1024,4,/regioinformatie/gemeente/steenwijkerland/
0183,Tubbergen,tcm:106-353703-1024,4,/regioinformatie/gemeente/tubbergen/
1700,Twenterand,tcm:106-353704-1024,4,/regioinformatie/gemeente/twenterand/
0189,Wierden,tcm:106-353705-1024,4,/regioinformatie/gemeente/wierden/
1896,Zwartewaterland,tcm:106-353706-1024,4,/regioinformatie/gemeente/zwartewaterland/
0193,Zwolle,tcm:106-353707-1024,4,/regioinformatie/gemeente/zwolle/
0307,Amersfoort,tcm:106-353709-1024,4,/regioinformatie/gemeente/amersfoort/
0308,Baarn,tcm:106-353710-1024,4,/regioinformatie/gemeente/baarn/
0312,Bunnik,tcm:106-353711-1024,4,/regioinformatie/gemeente/bunnik/
0313,Bunschoten,tcm:106-353712-1024,4,/regioinformatie/gemeente/bunschoten/
0310,De Bilt,tcm:106-353713-1024,4,/regioinformatie/gemeente/de-bilt/
0736,De Ronde Venen,tcm:106-353714-1024,4,/regioinformatie/gemeente/de-ronde-venen/
0317,Eemnes,tcm:106-353715-1024,4,/regioinformatie/gemeente/eemnes/
0321,Houten,tcm:106-353716-1024,4,/regioinformatie/gemeente/houten/
0353,IJsselstein,tcm:106-353717-1024,4,/regioinformatie/gemeente/ijsselstein/
0327,Leusden,tcm:106-353718-1024,4,/regioinformatie/gemeente/leusden/
0331,Lopik,tcm:106-353719-1024,4,/regioinformatie/gemeente/lopik/
0335,Montfoort,tcm:106-353720-1024,4,/regioinformatie/gemeente/montfoort/
0356,Nieuwegein,tcm:106-353721-1024,4,/regioinformatie/gemeente/nieuwegein/
0589,Oudewater,tcm:106-353722-1024,4,/regioinformatie/gemeente/oudewater/
0339,Renswoude,tcm:106-353723-1024,4,/regioinformatie/gemeente/renswoude/
0340,Rhenen,tcm:106-353724-1024,4,/regioinformatie/gemeente/rhenen/
0342,Soest,tcm:106-353725-1024,4,/regioinformatie/gemeente/soest/
1904,Stichtse Vecht,tcm:106-353726-1024,4,/regioinformatie/gemeente/stichtse-vecht/
0344,Utrecht (Ut),tcm:106-353727-1024,4,/regioinformatie/gemeente/utrecht/
1581,Utrechtse Heuvelrug,tcm:106-353728-1024,4,/regioinformatie/gemeente/utrechtse-heuvelrug/
0345,Veenendaal,tcm:106-353729-1024,4,/regioinformatie/gemeente/veenendaal/
0620,Vianen,tcm:106-353730-1024,4,/regioinformatie/gemeente/vianen/
